Nit_data,X,Y
0.5,408391,361054
0.5,408391,360954
0.5,408391,360854
0.5,408391,360754
0.4,408391,360654
0.4,408391,360554
0.4,408391,360454
0.4,408391,360354
0.4,408391,360254
0.3,408391,360154
0.3,408391,360054
0.3,408391,359954
0.3,408391,359854
0.3,408391,359754
0.1,408391,359654
0.1,408391,359554
0.1,408391,359454
0.1,408391,359354
0.2,408391,359254
0.2,408391,359154
0.2,408391,359054
0.2,408391,358954
0.2,408391,358854
0.2,408391,358754
0.2,408391,358654
0.2,408391,358554
0.2,408391,358454
0.2,408391,358354
0.2,408391,358254
0.2,408391,358154
0.2,408391,358054
0.2,408391,357954
0.2,408391,357854
0.2,408391,357754
0.2,408391,357654
0.2,408391,357554
0.2,408391,357454
0.1,408391,357354
0.1,408391,357254
0.1,408391,357154
0.4,408391,357054
0.4,408391,356954
0.4,408391,356854
0.4,408391,356754
0.2,408391,356654
0.5,408391,356554
0.5,408391,356454
0.5,408391,356354
0.5,408391,356254
0.5,408391,356154
0.5,408491,361254
0.5,408491,361154
0.5,408491,361054
0.5,408491,360954
0.5,408491,360854
0.5,408491,360754
0.4,408491,360654
0.4,408491,360554
0.4,408491,360454
0.4,408491,360354
0.4,408491,360254
0.3,408491,360154
0.3,408491,360054
0.3,408491,359954
0.3,408491,359854
0.3,408491,359754
0.1,408491,359654
0.1,408491,359554
0.1,408491,359454
0.1,408491,359354
0.1,408491,359254
0.1,408491,359154
0.1,408491,359054
0.1,408491,358954
0.1,408491,358854
0.1,408491,358754
0.1,408491,358654
0.1,408491,358554
0.1,408491,358454
0.1,408491,358354
0.1,408491,358254
0.1,408491,358154
0.1,408491,358054
0.1,408491,357954
0.85,408491,357854
0.85,408491,357754
0.85,408491,357654
0.85,408491,357554
0.2,408491,357454
0.1,408491,357354
0.1,408491,357254
0.1,408491,357154
0.4,408491,357054
0.4,408491,356954
0.4,408491,356854
0.4,408491,356754
0.1,408491,356654
0.5,408491,356554
0.5,408491,356454
0.5,408491,356354
0.5,408491,356254
0.5,408491,356154
0.5,408591,361254
0.5,408591,361154
0.5,408591,361054
0.5,408591,360954
0.5,408591,360854
0.5,408591,360754
0.4,408591,360654
0.4,408591,360554
0.4,408591,360454
0.4,408591,360354
0.4,408591,360254
0.3,408591,360154
0.3,408591,360054
0.3,408591,359954
0.3,408591,359854
0.3,408591,359754
0.1,408591,359654
0.1,408591,359554
0.1,408591,359454
0.1,408591,359354
0.1,408591,359254
0.1,408591,359154
0.1,408591,359054
0.1,408591,358954
0.1,408591,358854
0.1,408591,358754
0.1,408591,358654
0.1,408591,358554
0.1,408591,358454
0.1,408591,358354
0.1,408591,358254
0.1,408591,358154
0.1,408591,358054
0.1,408591,357954
0.85,408591,357854
0.85,408591,357754
0.85,408591,357654
0.85,408591,357554
0.2,408591,357454
0.1,408591,357354
0.1,408591,357254
0.1,408591,357154
0.4,408591,357054
0.4,408591,356954
0.4,408591,356854
0.4,408591,356754
0.1,408591,356654
0.5,408591,356554
0.5,408591,356454
0.5,408591,356354
0.5,408591,356254
0.5,408591,356154
0.5,408691,361254
0.5,408691,361154
0.5,408691,361054
0.5,408691,360954
0.5,408691,360854
0.5,408691,360754
