fid,id,Grid_data_Nit_dep,Grid_data_Acid_dep,X,Y
456,456,"0.1","0.5",408191,357354
457,457,"0.1","0.5",408191,357254
458,458,"0.1","0.5",408191,357154
459,459,"0.4","0.5",408191,357054
460,460,"0.4","0.5",408191,356954
461,461,"0.4","0.5",408191,356854
462,462,"0.4","0.5",408191,356754
463,463,"0.2","0.5",408191,356654
464,464,"0.5","0.5",408191,356554
465,465,"0.5","0.5",408191,356454
466,466,"0.5","0.18",408191,356354
467,467,"0.5","0.18",408191,356254
468,468,"0.5","0.18",408191,356154
469,469,"0.5","0.18",408291,361254
470,470,"0.5","0.18",408291,361154
471,471,"0.5","0.18",408291,361054
472,472,"0.5","0.18",408291,360954
473,473,"0.5","0.18",408291,360854
474,474,"0.5","0.18",408291,360754
475,475,"0.4","0.1",408291,360654
476,476,"0.4","0.1",408291,360554
477,477,"0.4","0.1",408291,360454
478,478,"0.4","0.1",408291,360354
479,479,"0.4","0.1",408291,360254
480,480,"0.3","0.1",408291,360154
481,481,"0.3","0.5",408291,360054
482,482,"0.3","0.5",408291,359954
483,483,"0.3","0.5",408291,359854
484,484,"0.3","0.5",408291,359754
485,485,"0.2","0.5",408291,359654
486,486,"0.2","0.5",408291,359554
487,487,"0.2","0.5",408291,359454
488,488,"0.2","0.5",408291,359354
489,489,"0.2","0.5",408291,359254
490,490,"0.2","0.5",408291,359154
491,491,"0.2","0.5",408291,359054
492,492,"0.2","0.5",408291,358954
493,493,"0.2","0.5",408291,358854
494,494,"0.2","0.5",408291,358754
495,495,"0.2","0.5",408291,358654
496,496,"0.2","0.5",408291,358554
497,497,"0.2","0.5",408291,358454
498,498,"0.2","0.5",408291,358354
499,499,"0.2","0.5",408291,358254
500,500,"0.2","0.5",408291,358154
501,501,"0.2","0.5",408291,358054
502,502,"0.2","0.5",408291,357954
503,503,"0.2","0.5",408291,357854
504,504,"0.2","0.5",408291,357754
505,505,"0.2","0.5",408291,357654
506,506,"0.2","0.5",408291,357554
507,507,"0.2","0.5",408291,357454
508,508,"0.1","0.5",408291,357354
509,509,"0.1","0.5",408291,357254
510,510,"0.1","0.5",408291,357154
511,511,"0.4","0.5",408291,357054
512,512,"0.4","0.5",408291,356954
513,513,"0.4","0.5",408291,356854
514,514,"0.4","0.5",408291,356754
515,515,"0.2","0.5",408291,356654
516,516,"0.5","0.5",408291,356554
517,517,"0.5","0.5",408291,356454
518,518,"0.5","0.18",408291,356354
519,519,"0.5","0.18",408291,356254
520,520,"0.5","0.18",408291,356154
521,521,"0.5","0.18",408391,361254
522,522,"0.5","0.18",408391,361154
523,523,"0.5","0.18",408391,361054
524,524,"0.5","0.18",408391,360954
525,525,"0.5","0.18",408391,360854
526,526,"0.5","0.18",408391,360754
527,527,"0.4","0.1",408391,360654
528,528,"0.4","0.1",408391,360554
529,529,"0.4","0.1",408391,360454
530,530,"0.4","0.1",408391,360354
531,531,"0.4","0.1",408391,360254
532,532,"0.3","0.1",408391,360154
533,533,"0.3","0.5",408391,360054
534,534,"0.3","0.5",408391,359954
535,535,"0.3","0.5",408391,359854
536,536,"0.3","0.5",408391,359754
537,537,"0.1","0.5",408391,359654
538,538,"0.1","0.5",408391,359554
539,539,"0.1","0.5",408391,359454
540,540,"0.1","0.5",408391,359354
541,541,"0.2","0.5",408391,359254
542,542,"0.2","0.5",408391,359154
543,543,"0.2","0.5",408391,359054
544,544,"0.2","0.5",408391,358954
545,545,"0.2","0.5",408391,358854
546,546,"0.2","0.5",408391,358754
547,547,"0.2","0.5",408391,358654
548,548,"0.2","0.5",408391,358554
549,549,"0.2","0.5",408391,358454
550,550,"0.2","0.1",408391,358354
551,551,"0.2","0.1",408391,358254
552,552,"0.2","0.1",408391,358154
553,553,"0.2","0.1",408391,358054
554,554,"0.2","0.1",408391,357954
555,555,"0.2","0.1",408391,357854
556,556,"0.2","0.1",408391,357754
557,557,"0.2","0.1",408391,357654
558,558,"0.2","0.1",408391,357554
559,559,"0.2","0.1",408391,357454
560,560,"0.1","0.1",408391,357354
561,561,"0.1","0.1",408391,357254
562,562,"0.1","0.1",408391,357154
563,563,"0.4","0.1",408391,357054
564,564,"0.4","0.1",408391,356954
565,565,"0.4","0.1",408391,356854
566,566,"0.4","0.1",408391,356754
567,567,"0.2","0.1",408391,356654
568,568,"0.5","0.1",408391,356554
569,569,"0.5","0.1",408391,356454
570,570,"0.5","0.18",408391,356354
571,571,"0.5","0.18",408391,356254
572,572,"0.5","0.18",408391,356154
573,573,"0.5","0.18",408491,361254
574,574,"0.5","0.18",408491,361154
575,575,"0.5","0.18",408491,361054
576,576,"0.5","0.18",408491,360954
577,577,"0.5","0.18",408491,360854
578,578,"0.5","0.18",408491,360754
579,579,"0.4","0.1",408491,360654
580,580,"0.4","0.1",408491,360554
581,581,"0.4","0.1",408491,360454
582,582,"0.4","0.1",408491,360354
583,583,"0.4","0.1",408491,360254
584,584,"0.3","0.1",408491,360154
585,585,"0.3","0.08",408491,360054
586,586,"0.3","0.08",408491,359954
587,587,"0.3","0.08",408491,359854
588,588,"0.3","0.08",408491,359754
589,589,"0.1","0.1",408491,359654
590,590,"0.1","0.1",408491,359554
591,591,"0.1","0.1",408491,359454
592,592,"0.1","0.1",408491,359354
593,593,"0.1","0.1",408491,359254
594,594,"0.1","0.1",408491,359154
595,595,"0.1","0.1",408491,359054
596,596,"0.1","0.1",408491,358954
597,597,"0.1","0.1",408491,358854
598,598,"0.1","0.1",408491,358754
599,599,"0.1","0.1",408491,358654
600,600,"0.1","0.1",408491,358554
601,601,"0.1","0.1",408491,358454
602,602,"0.1","0.1",408491,358354
603,603,"0.1","0.1",408491,358254
604,604,"0.1","0.1",408491,358154
605,605,"0.1","0.1",408491,358054
606,606,"0.1","0.1",408491,357954
607,607,"0.85","0.1",408491,357854
608,608,"0.85","0.1",408491,357754
609,609,"0.85","0.1",408491,357654
610,610,"0.85","0.1",408491,357554
611,611,"0.2","0.1",408491,357454
612,612,"0.1","0.1",408491,357354
613,613,"0.1","0.1",408491,357254
614,614,"0.1","0.1",408491,357154
615,615,"0.4","0.1",408491,357054
616,616,"0.4","0.1",408491,356954
617,617,"0.4","0.1",408491,356854
618,618,"0.4","0.1",408491,356754
619,619,"0.1","0.1",408491,356654
620,620,"0.5","0.1",408491,356554
621,621,"0.5","0.1",408491,356454
622,622,"0.5","0.18",408491,356354
623,623,"0.5","0.18",408491,356254
624,624,"0.5","0.18",408491,356154
625,625,"0.5","0.18",408591,361254
626,626,"0.5","0.18",408591,361154
627,627,"0.5","0.18",408591,361054
628,628,"0.5","0.18",408591,360954
629,629,"0.5","0.18",408591,360854
630,630,"0.5","0.18",408591,360754
631,631,"0.4","0.1",408591,360654
632,632,"0.4","0.1",408591,360554
633,633,"0.4","0.1",408591,360454
634,634,"0.4","0.1",408591,360354
635,635,"0.4","0.1",408591,360254
636,636,"0.3","0.1",408591,360154
637,637,"0.3","0.08",408591,360054
638,638,"0.3","0.08",408591,359954
639,639,"0.3","0.08",408591,359854
640,640,"0.3","0.08",408591,359754
641,641,"0.1","0.1",408591,359654
642,642,"0.1","0.1",408591,359554
643,643,"0.1","0.1",408591,359454
644,644,"0.1","0.1",408591,359354
645,645,"0.1","0.1",408591,359254
646,646,"0.1","0.1",408591,359154
647,647,"0.1","0.1",408591,359054
648,648,"0.1","0.1",408591,358954
649,649,"0.1","0.1",408591,358854
650,650,"0.1","0.1",408591,358754
651,651,"0.1","0.1",408591,358654
652,652,"0.1","0.1",408591,358554
653,653,"0.1","0.1",408591,358454
654,654,"0.1","0.1",408591,358354
655,655,"0.1","0.1",408591,358254
656,656,"0.1","0.1",408591,358154
657,657,"0.1","0.1",408591,358054
658,658,"0.1","0.1",408591,357954
659,659,"0.85","0.1",408591,357854
660,660,"0.85","0.1",408591,357754
661,661,"0.85","0.1",408591,357654
662,662,"0.85","0.1",408591,357554
663,663,"0.2","0.1",408591,357454
664,664,"0.1","0.1",408591,357354
665,665,"0.1","0.1",408591,357254
666,666,"0.1","0.1",408591,357154
667,667,"0.4","0.1",408591,357054
668,668,"0.4","0.1",408591,356954
669,669,"0.4","0.1",408591,356854
670,670,"0.4","0.1",408591,356754
671,671,"0.1","0.1",408591,356654
672,672,"0.5","0.1",408591,356554
673,673,"0.5","0.1",408591,356454
674,674,"0.5","0.18",408591,356354
675,675,"0.5","0.18",408591,356254
676,676,"0.5","0.18",408591,356154
677,677,"0.5","0.18",408691,361254
678,678,"0.5","0.18",408691,361154
679,679,"0.5","0.18",408691,361054
680,680,"0.5","0.18",408691,360954
681,681,"0.5","0.18",408691,360854
682,682,"0.5","0.18",408691,360754
683,683,"0.4","0.1",408691,360654
684,684,"0.4","0.1",408691,360554
685,685,"0.4","0.1",408691,360454
686,686,"0.4","0.1",408691,360354
687,687,"0.4","0.1",408691,360254
688,688,"0.3","0.1",408691,360154
689,689,"0.3","0.08",408691,360054
690,690,"0.3","0.08",408691,359954
691,691,"0.3","0.08",408691,359854
692,692,"0.3","0.08",408691,359754
693,693,"0.1","0.1",408691,359654
694,694,"0.1","0.1",408691,359554
695,695,"0.1","0.1",408691,359454
696,696,"0.1","0.1",408691,359354
697,697,"0.09","0.1",408691,359254
698,698,"0.09","0.1",408691,359154
699,699,"0.09","0.1",408691,359054
700,700,"0.09","0.1",408691,358954
701,701,"0.09","0.1",408691,358854
702,702,"0.08","0.1",408691,358754
703,703,"0.08","0.1",408691,358654
704,704,"0.08","0.1",408691,358554
705,705,"0.08","0.1",408691,358454
706,706,"0.08","0.1",408691,358354
707,707,"0.08","0.1",408691,358254
708,708,"0.08","0.1",408691,358154
709,709,"0.08","0.1",408691,358054
710,710,"0.08","0.1",408691,357954
711,711,"0.85","0.1",408691,357854
712,712,"0.85","0.1",408691,357754
713,713,"0.85","0.1",408691,357654
714,714,"0.85","0.1",408691,357554
715,715,"0.2","0.1",408691,357454
716,716,"0.1","0.1",408691,357354
717,717,"0.1","0.1",408691,357254
718,718,"0.1","0.1",408691,357154
719,719,"0.4","0.1",408691,357054
720,720,"0.4","0.1",408691,356954
721,721,"0.4","0.1",408691,356854
722,722,"0.4","0.1",408691,356754
723,723,"0.08","0.1",408691,356654
724,724,"0.5","0.1",408691,356554
725,725,"0.5","0.1",408691,356454
